country_iso,country_name,lat,lon
US,United States,37.0902,-95.7129
CN,China,35.8617,104.1954
JP,Japan,36.2048,138.2529
KR,South Korea,35.9078,127.7669
GB,United Kingdom,55.3781,-3.4360
DE,Germany,51.1657,10.4515
FR,France,46.2276,2.2137
RU,Russia,61.5240,105.3188
IN,India,20.5937,78.9629
BR,Brazil,-14.2350,-51.9253
CA,Canada,56.1304,-106.3468
AU,Australia,-25.2744,133.7751
HK,Hong Kong,22.3193,114.1694
SG,Singapore,1.3521,103.8198
TW,Taiwan,23.6978,120.9605
ID,Indonesia,-0.7893,113.9213
TH,Thailand,15.8700,100.9925
VN,Vietnam,14.0583,108.2772
MY,Malaysia,4.2105,101.9758
PH,Philippines,12.8797,121.7740
